appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-团购,青团商家,0,杨凌罗文网络科技有限公司,2.7万,暂无,Android 4.0.2 以上,4.35MB,2016年07月26日,4.1.4
网上购物-团购,爱宠团,2,北京世纪良友网络技术有限公司,1.6万,暂无,Android 4.0.2 以上,8.15MB,2017年12月25日,2.9.1
网上购物-团购,医学电子书包HD,0,北京医视时代科技发展有限公司,1695,暂无,Android 4.1.x 以上,71.68MB,2017年12月21日,3.2.0
网上购物-团购,左邻右舍,0,Google Play提供,673,暂无,Android 4.4.4 以上,5.28MB,2018年02月07日,3.6.2018.0206
网上购物-商城-团购,爱达配送端,0,,1064,暂无,Android 4.0.3 以上,1.19MB,2016年04月25日,1.0
网上购物-团购,娱乐休闲,0,东莞市掌商信息科技有限公司,495,暂无,Android 2.2.x 以上,1.11MB,2016年08月02日,1.2
网上购物-团购,同城通,0,汉源县生活通科技有限公司,85,暂无,Android 4.4.4 以上,20.13MB,2018年03月20日,3.5.20180301
网上购物-团购,WECHGO揪团购,0,,1015,暂无,Android 3.1.0 以上,4.35MB,2016年08月29日,2.0.21
网上购物-团购,手机看店(家),0,Google Play提供,2175,暂无,Android 2.2.x 以上,20.15MB,2018年02月05日,1.07
网上购物-商城-团购,福娃娃,0,北京福居网网络有限公司,907,暂无,Android 2.2.x 以上,13.71MB,2015年12月07日,2.0
网上购物-团购,中华考试网校,0,长沙畅亨信息技术有限公司,2220,暂无,Android 4.0.3 以上,14.62MB,2017年12月08日,1.14
网上购物-团购,欧克欧天天养鱼,0,,510,暂无,Android 3.0.0 以上,5.25MB,2017年12月28日,1.0
网上购物-团购,乐思购,1,北京浩鹏盛世科技有限公司,2490,暂无,Android 2.2.x 以上,2.82MB,2015年08月10日,1.1.01.00
网上购物-团购,八一军婚,0,,4455,暂无,Android 3.0.0 以上,727.54KB,2015年12月09日,1.0
